1/22/20,0,Australia
1/22/20,0,Italy
1/22/20,0,Portugal
1/22/20,0,Spain
1/22/20,0,US
1/23/20,0,Australia
1/23/20,0,Italy
1/23/20,0,Portugal
1/23/20,0,Spain
1/23/20,0,US
1/24/20,0,Australia
1/24/20,0,Italy
1/24/20,0,Portugal
1/24/20,0,Spain
1/24/20,0,US
1/25/20,0,Australia
1/25/20,0,Italy
1/25/20,0,Portugal
1/25/20,0,Spain
1/25/20,0,US
1/26/20,0,Australia
1/26/20,0,Italy
1/26/20,0,Portugal
1/26/20,0,Spain
1/26/20,0,US
1/27/20,0,Australia
1/27/20,0,Italy
1/27/20,0,Portugal
1/27/20,0,Spain
1/27/20,0,US
1/28/20,0,Australia
1/28/20,0,Italy
1/28/20,0,Portugal
1/28/20,0,Spain
1/28/20,0,US
1/29/20,0,Australia
1/29/20,0,Italy
1/29/20,0,Portugal
1/29/20,0,Spain
1/29/20,0,US
1/30/20,2,Australia
1/30/20,0,Italy
1/30/20,0,Portugal
1/30/20,0,Spain
1/30/20,0,US
1/31/20,2,Australia
1/31/20,0,Italy
1/31/20,0,Portugal
1/31/20,0,Spain
1/31/20,0,US
2/1/20,2,Australia
2/1/20,0,Italy
2/1/20,0,Portugal
2/1/20,0,Spain
2/1/20,0,US
2/10/20,2,Australia
2/10/20,0,Italy
2/10/20,0,Portugal
2/10/20,0,Spain
2/10/20,3,US
2/11/20,2,Australia
2/11/20,0,Italy
2/11/20,0,Portugal
2/11/20,0,Spain
2/11/20,3,US
2/12/20,2,Australia
2/12/20,0,Italy
2/12/20,0,Portugal
2/12/20,0,Spain
2/12/20,3,US
2/13/20,8,Australia
2/13/20,0,Italy
2/13/20,0,Portugal
2/13/20,0,Spain
2/13/20,3,US
2/14/20,8,Australia
2/14/20,0,Italy
2/14/20,0,Portugal
2/14/20,0,Spain
2/14/20,3,US
2/15/20,8,Australia
2/15/20,0,Italy
2/15/20,0,Portugal
2/15/20,2,Spain
2/15/20,3,US
2/16/20,8,Australia
2/16/20,0,Italy
2/16/20,0,Portugal
2/16/20,2,Spain
2/16/20,3,US
2/17/20,10,Australia
2/17/20,0,Italy
2/17/20,0,Portugal
2/17/20,2,Spain
2/17/20,3,US
2/18/20,10,Australia
2/18/20,0,Italy
2/18/20,0,Portugal
2/18/20,2,Spain
2/18/20,3,US
2/19/20,10,Australia
2/19/20,0,Italy
2/19/20,0,Portugal
2/19/20,2,Spain
2/19/20,3,US
2/2/20,2,Australia
2/2/20,0,Italy
2/2/20,0,Portugal
2/2/20,0,Spain
2/2/20,0,US
2/20/20,10,Australia
2/20/20,0,Italy
2/20/20,0,Portugal
2/20/20,2,Spain
2/20/20,3,US
2/21/20,11,Australia
2/21/20,0,Italy
2/21/20,0,Portugal
2/21/20,2,Spain
2/21/20,5,US
2/22/20,11,Australia
2/22/20,1,Italy
2/22/20,0,Portugal
2/22/20,2,Spain
2/22/20,5,US
2/23/20,11,Australia
2/23/20,2,Italy
2/23/20,0,Portugal
2/23/20,2,Spain
2/23/20,5,US
2/24/20,11,Australia
2/24/20,1,Italy
2/24/20,0,Portugal
2/24/20,2,Spain
2/24/20,5,US
2/25/20,11,Australia
2/25/20,1,Italy
2/25/20,0,Portugal
2/25/20,2,Spain
2/25/20,6,US
2/26/20,11,Australia
2/26/20,3,Italy
2/26/20,0,Portugal
2/26/20,2,Spain
2/26/20,6,US
2/27/20,11,Australia
2/27/20,45,Italy
2/27/20,0,Portugal
2/27/20,2,Spain
2/27/20,6,US
2/28/20,11,Australia
2/28/20,46,Italy
2/28/20,0,Portugal
2/28/20,2,Spain
2/28/20,7,US
2/29/20,11,Australia
2/29/20,46,Italy
2/29/20,0,Portugal
2/29/20,2,Spain
2/29/20,7,US
2/3/20,2,Australia
2/3/20,0,Italy
2/3/20,0,Portugal
2/3/20,0,Spain
2/3/20,0,US
2/4/20,2,Australia
2/4/20,0,Italy
2/4/20,0,Portugal
2/4/20,0,Spain
2/4/20,0,US
2/5/20,2,Australia
2/5/20,0,Italy
2/5/20,0,Portugal
2/5/20,0,Spain
2/5/20,0,US
2/6/20,2,Australia
2/6/20,0,Italy
2/6/20,0,Portugal
2/6/20,0,Spain
2/6/20,0,US
2/7/20,2,Australia
2/7/20,0,Italy
2/7/20,0,Portugal
2/7/20,0,Spain
2/7/20,0,US
2/8/20,2,Australia
2/8/20,0,Italy
2/8/20,0,Portugal
2/8/20,0,Spain
2/8/20,0,US
2/9/20,2,Australia
2/9/20,0,Italy
2/9/20,0,Portugal
2/9/20,0,Spain
2/9/20,3,US
3/1/20,11,Australia
3/1/20,83,Italy
3/1/20,0,Portugal
3/1/20,2,Spain
3/1/20,7,US
3/10/20,21,Australia
3/10/20,724,Italy
3/10/20,0,Portugal
3/10/20,32,Spain
3/10/20,8,US
3/11/20,21,Australia
3/11/20,1045,Italy
3/11/20,0,Portugal
3/11/20,183,Spain
3/11/20,8,US
3/12/20,21,Australia
3/12/20,1045,Italy
3/12/20,0,Portugal
3/12/20,183,Spain
3/12/20,12,US
3/13/20,23,Australia
3/13/20,1439,Italy
3/13/20,1,Portugal
3/13/20,193,Spain
3/13/20,12,US
3/14/20,23,Australia
3/14/20,1966,Italy
3/14/20,2,Portugal
3/14/20,517,Spain
3/14/20,12,US
3/15/20,23,Australia
3/15/20,2335,Italy
3/15/20,2,Portugal
3/15/20,517,Spain
3/15/20,12,US
3/16/20,23,Australia
3/16/20,2749,Italy
3/16/20,3,Portugal
3/16/20,530,Spain
3/16/20,17,US
3/17/20,23,Australia
3/17/20,2941,Italy
3/17/20,3,Portugal
3/17/20,1028,Spain
3/17/20,17,US
3/18/20,23,Australia
3/18/20,4025,Italy
3/18/20,3,Portugal
3/18/20,1081,Spain
3/18/20,0,US
3/19/20,26,Australia
3/19/20,4440,Italy
3/19/20,3,Portugal
3/19/20,1107,Spain
3/19/20,0,US
3/2/20,11,Australia
3/2/20,149,Italy
3/2/20,0,Portugal
3/2/20,2,Spain
3/2/20,7,US
3/20/20,26,Australia
3/20/20,4440,Italy
3/20/20,5,Portugal
3/20/20,1588,Spain
3/20/20,0,US
3/21/20,26,Australia
3/21/20,6072,Italy
3/21/20,5,Portugal
3/21/20,2125,Spain
3/21/20,0,US
3/3/20,11,Australia
3/3/20,160,Italy
3/3/20,0,Portugal
3/3/20,2,Spain
3/3/20,7,US
3/4/20,11,Australia
3/4/20,276,Italy
3/4/20,0,Portugal
3/4/20,2,Spain
3/4/20,7,US
3/5/20,21,Australia
3/5/20,414,Italy
3/5/20,0,Portugal
3/5/20,2,Spain
3/5/20,7,US
3/6/20,21,Australia
3/6/20,523,Italy
3/6/20,0,Portugal
3/6/20,2,Spain
3/6/20,7,US
3/7/20,21,Australia
3/7/20,589,Italy
3/7/20,0,Portugal
3/7/20,30,Spain
3/7/20,7,US
3/8/20,21,Australia
3/8/20,622,Italy
3/8/20,0,Portugal
3/8/20,30,Spain
3/8/20,7,US
3/9/20,21,Australia
3/9/20,724,Italy
3/9/20,0,Portugal
3/9/20,32,Spain
3/9/20,7,US
